train_acc,train_loss,val_acc,val_loss
0.6858299999999999,1.0548732,0.8200632911392406,0.5581162
0.82926,0.5095098,0.8474050632911392,0.4448078
0.85075,0.43768674,0.8576582278481012,0.41872078
0.8612799999999999,0.39959323,0.8651898734177215,0.38660413
0.86997,0.3743437,0.8771518987341772,0.3566743
0.8754500000000001,0.3546337,0.8703164556962025,0.36667743
0.8788700000000002,0.34019238,0.8768354430379747,0.3521949
0.8825,0.32849732,0.8796835443037975,0.3462535
0.88605,0.3170893,0.8729746835443039,0.35420817
0.88846,0.3087528,0.8775949367088609,0.35226777
0.8910699999999999,0.29784283,0.8824683544303797,0.33761373
0.89365,0.29191083,0.8828481012658228,0.3348637
0.89562,0.28412575,0.8825949367088607,0.3273935
0.89804,0.27729204,0.8820886075949368,0.33155292
0.89879,0.2714279,0.8859493670886077,0.32831642
0.90182,0.26401088,0.8818987341772154,0.33546612
0.90338,0.2592452,0.8820886075949368,0.33591583
0.9043,0.25442076,0.885253164556962,0.3318142
0.90676,0.24617304,0.8828481012658228,0.33810344
0.90795,0.2411333,0.8800632911392405,0.3405712
0.91015,0.2352695,0.8832911392405064,0.34170052
0.91237,0.2296517,0.884367088607595,0.34254792
0.91253,0.22668771,0.8841772151898734,0.337401
0.9148299999999999,0.22217229,0.880379746835443,0.3534492
0.91577,0.21761045,0.8810759493670884,0.35725957
0.91724,0.21284825,0.8770886075949366,0.3634518
0.91939,0.20689546,0.8786708860759492,0.36147293
0.91977,0.20471936,0.8788607594936708,0.37139618
0.92207,0.19863321,0.8781645569620254,0.37174457
0.92262,0.19580157,0.8802531645569619,0.36740437
0.9243899999999999,0.19084558,0.8806962025316456,0.37525013
0.9256599999999999,0.1877988,0.8782278481012658,0.38962948
0.92725,0.18294904,0.8769620253164557,0.38487962
0.92807,0.17954284,0.8820253164556963,0.3821625
0.9299899999999999,0.17628846,0.8778481012658229,0.39199683
0.9305800000000001,0.17388484,0.8735443037974683,0.41308782
0.93294,0.16871609,0.876708860759494,0.4210465
0.9335999999999999,0.16667987,0.8771518987341772,0.4069994
0.9347999999999999,0.16260254,0.8774050632911392,0.41146377
0.9366899999999999,0.15832499,0.8772784810126582,0.42364135
0.93795,0.15575983,0.8727215189873417,0.43093202
0.9381599999999999,0.15312335,0.8771518987341772,0.42763862
0.93914,0.15113153,0.8781012658227849,0.43601593
0.9407999999999999,0.14722416,0.8734177215189873,0.46314162
0.9427,0.14397283,0.8775949367088607,0.45496252
0.9421799999999998,0.14281091,0.8703164556962025,0.4662549
0.9431999999999998,0.1405986,0.8720886075949367,0.4704803
0.9455699999999999,0.13524517,0.8711392405063292,0.49774224
0.94525,0.1355219,0.8769620253164557,0.48393506
0.9471999999999999,0.13204257,0.8753164556962024,0.50085205
